"PROBEID"	"SYMBOL"	"REFSEQ"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"JUC0700010337.mm.1"	"Gm10693"	"XR_001778025"	2.27125286271619	8.3901467042307	12.4932379514469	3.76307346234955e-07	0.00480834014229615	5.86273778853648
"JUC0700010336.mm.1"	"Gm10693"	"XR_001778025"	2.60312438162576	8.46299864197249	11.9962077376258	5.39238094699063e-07	0.00480834014229615	5.6412925963379
"PSR0700019444.mm.1"	"Gm10693"	"XR_001778025"	2.07987613056434	7.68663613618066	11.5435082305878	7.57137994896042e-07	0.00480834014229615	5.42567377835899
"JUC0700010339.mm.1"	"Gm10693"	"XR_001778025"	1.98818648098515	8.38231655090662	10.7250925830747	1.44220846035771e-06	0.00656153154537943	4.99870247204383
"PSR0700019441.mm.1"	"Gm10693"	"XR_001778025"	2.19289489322208	7.60807743887423	10.50275183151	1.73082638829306e-06	0.00661135294378888	4.87372866317386
"JUC0700010335.mm.1"	"Gm10693"	"XR_001778025"	1.96078052593068	8.03523394682798	9.61272571546622	3.7190631027025e-06	0.00835644310054877	4.33069711017492
"PSR1800002697.mm.1"	"Vaultrc5"	"NR_027885"	0.788063301022423	6.76863871329204	9.51699508611884	4.05215267959637e-06	0.00876128928326391	4.26793070747657
"PSR0700019438.mm.1"	"Gm10693"	"XR_001778025"	2.12015622077082	5.97594897111981	7.96413955379094	1.81586140434654e-05	0.0215981302629458	3.11365876034632
"JUC1100007213.mm.1"	"Gm53"	"NR_037977"	-1.33603581383088	6.91258426007021	-7.92456761658784	1.89212049284277e-05	0.0219013902662962	3.08057311227081
"PSR0700019434.mm.1"	"Gm10693"	"XR_001778025"	0.840087250319286	6.60127587298603	7.8591538983892	2.02596645490764e-05	0.0224697516911722	3.0254453450031
"JUC1100016434.mm.1"	"Bcas3os1"	"NR_045875"	-0.6818185651715	5.73209007663925	-7.84887869657446	2.0479155768604e-05	0.0224697516911722	3.01673618089212
"PSR1200002178.mm.1"	"Gdap10"	"NR_045032"	0.88490617821258	7.0082751396596	7.67235254320083	2.46856971639118e-05	0.0245983312617751	2.86498023640661
"JUC0400003564.mm.1"	"0610043K17Rik"	"NR_040640"	-0.712561562059784	4.91885200164228	-7.62800380850936	2.58850849295864e-05	0.0253525601481717	2.82621307068613
"JUC0700017842.mm.1"	"Gm21123"	"XR_140838"	-0.622127330668896	9.12578860902108	-7.34789273219315	3.50988026137793e-05	0.0297931636142282	2.57525175597303
"PSR0500020047.mm.1"	"AI839979"	"NR_102275"	1.2962015889516	5.09209143619846	7.30023890345647	3.69963343553037e-05	0.0307211662520095	2.53148845453606
"JUC0300005105.mm.1"	"4930455H04Rik"	"NR_040596"	-0.940020714793558	5.37791299553172	-7.27021118436493	3.82492895174839e-05	0.0310128201523879	2.50374984691279
"JUC0700010338.mm.1"	"Gm10693"	"XR_001778025"	1.28236616452854	6.84263606392508	7.24346103805316	3.94045074786657e-05	0.0313575050382134	2.47893267736177
"PSR0700019442.mm.1"	"Gm10693"	"XR_001778025"	1.14629125341328	5.96770550728695	7.08539070464309	4.70565938148184e-05	0.0348274063389985	2.33021920397062
"JUC0900002864.mm.1"	"4930461G14Rik"	"NR_040736"	1.21447876868126	5.08094991786402	6.63994724636668	7.88120838301516e-05	0.0475332269597293	1.89157034365361
"PSR0200000100.mm.1"	"Phxr1"	"NM_011080"	0.661710791960419	7.23501575189455	6.42064016399359	0.000102490945020767	0.0556622979277953	1.66459902452704
"PSR1700012564.mm.1"	"Mir692-1"	"NR_030465"	0.690303691116352	9.10081993851697	6.32775675776173	0.00011476119517489	0.0592379713453881	1.56620959446241
"PSR1000001346.mm.1"	"C920009B18Rik"	"NR_015465"	0.75914536130994	8.52695950103619	6.30350615230767	0.000118221168424575	0.060183346365786	1.54029712385094
"JUC1800000511.mm.1"	"8430422H06Rik"	"NR_045373"	-1.06627256689364	8.16729035672419	-6.29238157644451	0.000119846102364104	0.060183346365786	1.52837896616942
"JUC1000008380.mm.1"	"4930467K11Rik"	"NR_045353"	-0.938905997812114	8.51280575813781	-6.28326061227324	0.000121196455800995	0.0603837628678407	1.51859267223175
"JUC0700010341.mm.1"	"Gm10693"	"XR_001778025"	2.39718108679801	7.02250204003647	6.12091105158603	0.000148211728900806	0.067396931150516	1.34217306097812
"PSR1700016850.mm.1"	"Pdxk-ps"	"NR_027316"	0.592429362431593	5.51321241140093	5.96535743145802	0.000180310532140476	0.0734693948249105	1.16913627184212
"JUC1100018754.mm.1"	"Gm11627"	"NR_040286"	-0.646795146961837	7.06521244031764	-5.91614490620019	0.000191975936415321	0.0756126417434022	1.11356714967104
"PSR0700019443.mm.1"	"Gm10693"	"XR_001778025"	1.43131994165052	5.39806711928722	5.90055970902623	0.000195838602816442	0.0758696380804196	1.09588558427992
"PSR0700007909.mm.1"	"Gm5331"	NA	0.986394408677769	4.65741339786508	5.78820370374579	0.000226302288959581	0.0826162124356805	0.967224929047534
"JUC0700010340.mm.1"	"Gm10693"	"XR_001778025"	1.68438830909662	6.97735985807238	5.76239831049843	0.000233999711340059	0.0832755556571161	0.937377953810845
"PSR1200002176.mm.1"	"Gdap10"	"NR_045032"	0.677809475565264	7.14627571691797	5.74450724077735	0.000239502306066674	0.0839305436058055	0.916619473633813
