"PROBEID"	"SYMBOL"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"JUC1100016875.mm.1"	"Stxbp4"	-1.46053507355132	8.84613581204248	-15.7849320173512	5.63425816457249e-08	0.000976797872821617	8.43591286729436
"PSR1700009977.mm.1"	"Adgre1"	2.75460985499942	5.85806811811812	13.6430804731448	2.05007019721486e-07	0.000976797872821617	7.43646692099666
"PSR0200015486.mm.1"	"Sirpa"	2.68105471871742	7.88391506793205	13.4399605952496	2.33939501818778e-07	0.000976797872821617	7.32977838055224
"PSR1700022115.mm.1"	"C3"	2.2360857333484	9.02925650561619	13.2791472478756	2.60051790117537e-07	0.000976797872821617	7.24368745869064
"JUC1900006969.mm.1"	"Myof"	2.78422582157784	6.246309067593	13.2614537376844	2.63115903233488e-07	0.000976797872821617	7.23412620577059
"PSR1500010173.mm.1"	"Trio"	1.2634219963731	4.85967053837775	13.0359189204219	3.05871677390998e-07	0.000976797872821617	7.11067657829827
"JUC1700011852.mm.1"	"C3"	2.36309071437077	8.88804100358841	12.8265529533349	3.5250735215504e-07	0.000976797872821617	6.99341127656981
"JUC0700003338.mm.1"	"Napsa"	1.80031254232744	8.40397307598967	12.4395454673658	4.60806359940643e-07	0.00105645343032043	6.76964355539129
"JUC0600013406.mm.1"	"Klra2"	2.10812575490996	7.56711778503402	12.3917144953161	4.76566866799184e-07	0.00105645343032043	6.74133818642308
"PSR1800004536.mm.1"	"Csf1r"	2.38034160903062	9.12462535121611	11.7211943115092	7.73321363657905e-07	0.00119772735055031	6.32873569426454
"JUC1500008151.mm.1"	"Csf2rb2"	1.60540660814762	8.35509225831939	11.7168826698965	7.75793565929482e-07	0.00119772735055031	6.32598393552555
"PSR0800016492.mm.1"	"Cyp4v3"	0.978771150939065	7.71822579483664	11.7109725452597	7.7919646831454e-07	0.00119772735055031	6.3222098887056
"PSR0200010521.mm.1"	"Spi1"	1.87952040639249	10.8283889071903	11.5892577532776	8.53066094391613e-07	0.00119772735055031	6.24394012610647
"PSR0700019373.mm.1"	"Pira2"	2.07987613056434	7.68663613618066	11.5715021283938	8.64473006532161e-07	0.00119772735055031	6.23243460260951
"JUC0700010271.mm.1"	"Gm15448"	2.45978406296659	8.60885645928638	11.4565980119513	9.42482980193513e-07	0.00122899780617234	6.15743195194742
"JUC1200005043.mm.1"	"Pld4"	1.74791150072122	10.1635818660744	11.3648483902801	1.01035354792881e-06	0.00123542723396743	6.09685759923009
"PSR0200045321.mm.1"	"Ctsz"	1.26852919355833	8.65940243141175	11.1978043640599	1.14818333955969e-06	0.00123542723396743	5.98498275468908
"PSR1700022084.mm.1"	"C3"	2.38100860079797	7.81705528237942	11.1805854859909	1.16352926998474e-06	0.00123542723396743	5.97333252262391
"JUC1700011853.mm.1"	"C3"	2.33864577836466	8.15225805995565	11.1252527526598	1.21439317633581e-06	0.00123542723396743	5.93574340005126
"JUC0600013409.mm.1"	"Klra2"	1.91379441415164	9.00274078257232	11.0984261950821	1.23993068660012e-06	0.00123542723396743	5.91743595755274
"JUC1300003831.mm.1"	"Cd180"	2.4889372617435	8.71111637747664	11.0348266479531	1.30287013559887e-06	0.00123542723396743	5.87381420707373
"PSR0X00011711.mm.1"	"Cybb"	2.16292690518016	7.85694172965912	11.0012368691963	1.33752497362046e-06	0.00123542723396743	5.85065054499709
"PSR0700019372.mm.1"	"Pira2"	2.33747275414285	7.69096462752908	10.6591825281356	1.75451065710728e-06	0.00155575968987017	5.60974499066237
"PSR0X00011715.mm.1"	"Cybb"	2.03243345507703	9.51851296249667	10.533684121328	1.94186229025717e-06	0.00165566166347773	5.51900970479258
"JUC1200005047.mm.1"	"Pld4"	2.11377945053604	9.38086424868561	10.4022374392966	2.16200494044923e-06	0.00177508613036587	5.42258421008146
"PSR0100029492.mm.1"	"Ifi207"	1.15073060027817	8.59654701355467	10.3181275978822	2.31721099716532e-06	0.00183456904947003	5.36012573037784
"PSR0600023782.mm.1"	"Apobec1"	1.38579180332258	7.68505106054211	10.2279425245248	2.49737345408947e-06	0.00189427784485787	5.29248931120007
"JUC0800009909.mm.1"	"Ifi30"	1.64084197072636	8.90277712430859	10.1552910085695	2.65373680722818e-06	0.00189427784485787	5.23749506879907
"PSR0500025069.mm.1"	"Hpse"	1.72835430053829	7.74338822762531	10.1264972637357	2.71866196750808e-06	0.00189427784485787	5.21557293097875
"JUC0600013608.mm.1"	"Plbd1"	2.29272983927093	8.06309964390455	10.1196174663267	2.73443211094604e-06	0.00189427784485787	5.21032431412863
"PSR1200008764.mm.1"	"Tnfaip2"	2.14297368164834	8.03141478716772	10.063381420172	2.86717712561488e-06	0.00189750895697242	5.16726657630833
"JUC0100013913.mm.1"	"Ikbke"	1.3122966592497	8.11292476915653	10.0457311443074	2.91028981130739e-06	0.00189750895697242	5.15369524771836
"JUC1700011859.mm.1"	"C3"	2.44426117611606	8.79134902331712	9.95759800427943	3.13650969085269e-06	0.0019865756236235	5.08551743970131
"PSR1700017804.mm.1"	"H2-Aa"	2.23565092144428	10.5944326888526	9.89912864004816	3.29723087902133e-06	0.00199075438986032	5.03990503931566
"PSR0100005093.mm.1"	"Slc11a1"	2.78027694885943	8.7120845889281	9.86535583501594	3.39417767711035e-06	0.00199075438986032	5.01341866263244
"PSR1800004518.mm.1"	"Csf1r"	2.18097709333171	8.70919521681553	9.85908658896662	3.41251654703591e-06	0.00199075438986032	5.0084906662634
"JUC0100007006.mm.1"	"Sell"	1.39946990399784	9.6288103757592	9.81130242554462	3.55592868814611e-06	0.00202122633740572	4.97081244108776
"PSR0300020846.mm.1"	"I830077J02Rik"	2.30144040512486	8.43537224742501	9.72389357819762	3.83572309538204e-06	0.00203075120140188	4.90135064885209
"JUC0700012158.mm.1"	"Axl"	1.78275545595707	9.4910177144351	9.70107105051538	3.91270257502224e-06	0.00203075120140188	4.88309846926342
"JUC1700011842.mm.1"	"C3"	1.92345780712265	6.8073750379308	9.68403666353304	3.97126560934539e-06	0.00203075120140188	4.86944392282611
"PSR0700019329.mm.1"	"Pira1"	2.39189862255043	7.83050750732772	9.67612279178064	3.99880017038419e-06	0.00203075120140188	4.8630911133867
"JUC1800002528.mm.1"	"Csf1r"	2.65983661830104	8.1622697378259	9.64642938276384	4.10399813383952e-06	0.00203075120140188	4.83920302858235
"JUC1100010974.mm.1"	"Camk2b"	-1.18438010013734	8.07691213904732	-9.64134074029435	4.12232966722684e-06	0.00203075120140188	4.83510101921829
"JUC1700003323.mm.1"	"H2-Eb1"	2.91601466007477	9.53916147391614	9.52900031269546	4.55085134882671e-06	0.00219311462393023	4.74392361927278
